Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Team_PTS,Opp_PTS
Alabama,4,2024,109,N,College of Charleston,13,W,109,96
Xavier,1,2018,102,N,Texas Southern,16,W,102,83
Arizona,2,2017,100,N,North Dakota,15,W,100,82
Michigan,3,2018,99,N,Texas A&M,7,W,99,72
Arizona St.,11,2023,98,N,Nevada,11,W,98,73
Gonzaga,1,2021,98,N,Norfolk State,16,W,98,55
Texas Tech,3,2022,97,N,Montana State,14,W,97,62
Charleston,13,2024,96,N,Alabama,4,L,96,109
Kansas,1,2023,96,N,Howard,16,W,96,68
Florida,1,2025,95,N,Norfolk State,16,W,95,69
Oregon,7,2021,95,N,Iowa,2,W,95,80
Ole Miss,11,2015,94,N,Brigham Young,11,W,94,90
Gonzaga,1,2022,93,N,Georgia State,16,W,93,72
Gonzaga,1,2021,93,N,UCLA,11,W,93,90
Kansas,3,2021,93,N,Eastern Washington,14,W,93,84
Duke,4,2016,93,N,UNC Wilmington,13,W,93,85
Arizona,2,2015,93,N,Texas Southern,15,W,93,72
Baylor,3,2024,92,N,Colgate,14,W,92,67
Texas A&M,3,2016,92,N,Northern Iowa,11,W,92,88
Texas A&M,3,2016,92,N,Green Bay,14,W,92,65
Buffalo,6,2019,91,N,Arizona State,11,W,91,74
Xavier,11,2017,91,N,Florida State,3,W,91,66
Oregon,1,2016,91,N,Holy Cross,16,W,91,52
UNC,1,2024,90,N,Wagner,16,W,90,62
Florida St.,4,2019,90,N,Murray State,12,W,90,62
Gonzaga,4,2018,90,N,Ohio State,5,W,90,84
BYU,11,2015,90,N,Ole Miss,11,L,90,94
Alabama,4,2024,89,N,Clemson,6,W,89,82
Alabama,4,2024,89,N,North Carolina,1,W,89,87
Notre Dame,11,2022,89,N,Rutgers,11,W,89,87
UConn,4,2023,88,N,Arkansas,8,W,88,65
UNI,11,2016,88,N,Texas A&M,3,L,88,92
Florida,1,2025,87,N,Maryland,4,W,87,71
UNC,1,2024,87,N,Alabama,4,L,87,89
UConn,4,2023,87,N,Iona,13,W,87,63
Rutgers,11,2022,87,N,Notre Dame,11,L,87,89
Gonzaga,1,2021,87,N,Oklahoma,8,W,87,71
Gonzaga,1,2019,87,N,Fairleigh Dickinson,16,W,87,49
UNC,4,2015,87,N,Arkansas,5,W,87,78
UCLA,2,2023,86,N,UNC Asheville,15,W,86,53
Iowa,2,2021,86,N,Grand Canyon,15,W,86,74
Texas A&M,7,2018,86,N,North Carolina,2,W,86,65
Florida St.,3,2017,86,N,Florida Gulf Coast,14,W,86,80
West Virginia,4,2017,86,N,Bucknell,13,W,86,80
Wisconsin,1,2015,86,N,Coastal Carolina,16,W,86,72
Texas Tech,3,2025,85,N,Arkansas,10,W,85,83
UNC,1,2024,85,N,Michigan State,9,W,85,69
Arizona,2,2024,85,N,Long Beach State,15,W,85,65
Duke,2,2022,85,N,Michigan State,7,W,85,76
Gonzaga,1,2021,85,N,Southern California,6,W,85,66
USC,6,2021,85,N,Kansas,3,W,85,51
Saint Mary's,7,2017,85,N,VCU,10,W,85,77
Oklahoma,2,2016,85,N,VCU,10,W,85,81
UNCW,13,2016,85,N,Duke,4,L,85,93
Wisconsin,1,2015,85,N,Arizona,2,W,85,78
Florida,1,2025,84,N,Texas Tech,3,W,84,79
Gonzaga,3,2023,84,N,TCU,6,W,84,81
Eastern Wash.,14,2021,84,N,Kansas,3,L,84,93
Ohio St.,5,2018,84,N,Gonzaga,4,L,84,90
UNC,2,2018,84,N,Lipscomb,15,W,84,66
Arkansas,10,2025,83,N,Texas Tech,3,L,83,85
St. John's (NY),2,2025,83,N,Omaha,15,W,83,53
Gonzaga,1,2021,83,N,Creighton,5,W,83,65
Gonzaga,1,2019,83,N,Baylor,9,W,83,71
Murray St.,12,2019,83,N,Marquette,5,W,83,64
Texas Southern,16,2018,83,N,Xavier,1,L,83,102
Gonzaga,1,2017,83,N,Xavier,11,W,83,59
West Virginia,4,2017,83,N,Notre Dame,5,W,83,71
Texas Tech,3,2025,82,N,UNC Wilmington,14,W,82,72
Clemson,6,2024,82,N,Alabama,4,L,82,89
UConn,4,2023,82,N,Gonzaga,3,W,82,54
Gonzaga,3,2023,82,N,Grand Canyon,14,W,82,70
Gonzaga,1,2022,82,N,Memphis,9,W,82,78
USC,6,2021,82,N,Oregon,7,W,82,68
FDU,16,2019,82,N,Prairie View A&M,16,W,82,76
North Dakota,15,2017,82,N,Arizona,2,L,82,100
Oregon,1,2016,82,N,Duke,4,W,82,68
Oklahoma,2,2016,82,N,Cal State Bakersfield,15,W,82,68
Maryland,4,2025,81,N,Grand Canyon,13,W,81,49
TCU,6,2023,81,N,Gonzaga,3,L,81,84
Ohio St.,5,2018,81,N,South Dakota State,12,W,81,73
VCU,10,2016,81,N,Oklahoma,2,L,81,85
Iowa,2,2021,80,N,Oregon,7,L,80,95
Bucknell,13,2017,80,N,West Virginia,4,L,80,86
Fla. Gulf Coast,14,2017,80,N,Florida State,3,L,80,86
Oklahoma,2,2016,80,N,Oregon,1,W,80,68
Florida,1,2025,79,N,Auburn,1,W,79,73
Texas Tech,3,2025,79,N,Florida,1,L,79,84
Arkansas,10,2025,79,N,Kansas,7,W,79,72
Gonzaga,3,2023,79,N,UCLA,2,W,79,76
Gonzaga,1,2017,79,N,Northwestern,8,W,79,73
Yale,12,2016,79,N,Baylor,5,W,79,75
Wisconsin,1,2015,79,N,North Carolina,4,W,79,72
Oregon,8,2015,79,N,Oklahoma State,9,W,79,73
Colorado St.,12,2025,78,N,Memphis,5,W,78,70
Arizona,2,2024,78,N,Dayton,7,W,78,68
Duke,2,2022,78,N,Arkansas,4,W,78,69
Duke,2,2022,78,N,Texas Tech,3,W,78,73
Memphis,9,2022,78,N,Gonzaga,1,L,78,82
Duke,2,2022,78,N,Cal State Fullerton,15,W,78,61
Notre Dame,11,2022,78,N,Alabama,6,W,78,64
Texas Tech,3,2019,78,N,Buffalo,6,W,78,58
Baylor,9,2019,78,N,Syracuse,8,W,78,69
Saint Joseph's,8,2016,78,N,Cincinnati,9,W,78,76
Arizona,2,2015,78,N,Wisconsin,1,L,78,85
Arkansas,5,2015,78,N,North Carolina,4,L,78,87
Florida,1,2025,77,N,Connecticut,8,W,77,75
Texas Tech,3,2025,77,N,Drake,11,W,77,64
Clemson,6,2024,77,N,Arizona,2,W,77,72
Clemson,6,2024,77,N,New Mexico,11,W,77,56
Duke,2,2022,77,N,North Carolina,8,L,77,81
Texas Tech,3,2019,77,N,Virginia,1,L,77,85
Gonzaga,1,2017,77,N,South Carolina,7,W,77,73
VCU,10,2017,77,N,St. Mary's (CA),7,L,77,85
Oklahoma,2,2016,77,N,Texas A&M,3,W,77,63
UConn,4,2023,76,N,San Diego State,5,W,76,59
UCLA,2,2023,76,N,Gonzaga,3,L,76,79
Michigan St.,7,2022,76,N,Duke,2,L,76,85
Florida St.,4,2019,76,N,Vermont,13,W,76,69
Prairie View,16,2019,76,N,Fairleigh Dickinson,16,L,76,82
Xavier,11,2017,76,N,Maryland,6,W,76,65
Cincinnati,9,2016,76,N,Saint Joseph's,8,L,76,78
Xavier,6,2015,76,N,Ole Miss,11,W,76,57
UConn,8,2025,75,N,Florida,1,L,75,77
Arkansas,10,2025,75,N,St. John's (NY),2,W,75,66
